dataset,seed,train_time_sec,attack_time_sec,clean_pr_auc,clean_accuracy,robust_pr_auc,robust_accuracy,clean_feasibility,adv_feasibility,clean_g1_installment,clean_g2_open_total,clean_g3_bankruptcy,clean_g4_term_ohe,adv_g1_installment,adv_g2_open_total,adv_g3_bankruptcy,adv_g4_term_ohe,clean_c_amount_nonneg,clean_c_time_nonneg,adv_c_amount_nonneg,adv_c_time_nonneg,clean_i_amt_positive,clean_i_c_nonneg,clean_i_d_nonneg,clean_i_product_ohe,clean_i_card4_ohe,clean_i_card6_ohe,adv_i_amt_positive,adv_i_c_nonneg,adv_i_d_nonneg,adv_i_product_ohe,adv_i_card4_ohe,adv_i_card6_ohe,clean_s_amt_positive,clean_s_city_pop_pos,clean_s_merch_bbox,clean_s_category_ohe,clean_s_gender_ohe,clean_s_state_ohe,adv_s_amt_positive,adv_s_city_pop_pos,adv_s_merch_bbox,adv_s_category_ohe,adv_s_gender_ohe,adv_s_state_ohe
lcld,42,26.7,0.2,0.2888219023221499,0.6370991797166293,0.10505397133444426,0.03407904548844146,0.9979865771812081,0.0017897091722595079,0.9979865771812081,1.0,1.0,1.0,0.015361670395227442,0.9835197613721104,0.8292319164802386,0.2507457121551081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lcld,123,20.8,0.1,0.2944216725704795,0.6480984340044743,0.10505404523432216,0.03866517524235645,0.9982475764354959,0.0011558538404175989,0.9982475764354959,1.0,1.0,1.0,0.010589112602535422,0.984862043251305,0.8313571961222967,0.21144668158090976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lcld,456,20.9,0.1,0.29425653863013607,0.6240492170022371,0.10506109402875631,0.047949291573452645,0.9978747203579418,0.0010439970171513796,0.9978747203579418,1.0,1.0,1.0,0.006636838180462341,0.9866144668158091,0.6713273676360925,0.212751677852349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccfd,42,4.5,0.0,0.8393738977072311,0.9987712831314727,0.8393738977072311,0.9956117254695454,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ccfd,123,4.5,0.0,0.5335816638142219,0.9987712831314727,0.4628309285935787,0.9973670352817272,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ccfd,456,4.3,0.0,0.5918891190359822,0.9991223450939091,0.4237377926643642,0.9973670352817272,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ieee_cis,42,9.4,0.2,0.44541217524230836,0.9099991533316399,0.058325893333373,0.1425789518245703,1.0,0.00016933367200067733,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4323088646177292,0.00821268309203285,0.05215477097620862,0.1917703835407671,,,,,,,,,,,,
ieee_cis,123,9.3,0.2,0.4529820160537845,0.8670730674794683,0.0684452895228839,0.12192024384048768,0.9998306663279993,8.466683600033866e-05,,,,,,,,,,,,,1.0,1.0,0.9999153331639996,1.0,1.0,0.9999153331639996,1.0,1.0,0.9558885784438236,0.019304038608077216,0.028278723224113116,0.2510371687410041,,,,,,,,,,,,
ieee_cis,456,9.5,0.2,0.39872498728934663,0.9015324697316062,0.06350344347140238,0.20590974515282365,1.0,0.00042333418000169333,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16738633477266954,0.03412073490813648,0.07459148251629837,0.21623909914486494,,,,,,,,,,,,
sparkov,42,29.0,0.0,0.6019680908872543,0.9656931548261715,0.005344554419302072,0.8680090693154826,0.9933869574605917,0.004237745627294321,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.9933869574605917,1.0,1.0,1.0,1.0,1.0,0.9917674368386957,0.01719391060246167,0.2626592528611531,2.699201036493198e-05
sparkov,123,29.2,0.0,0.6361018655914826,0.9615633772403369,0.005371410062621464,0.8665245087454113,0.9929820773051177,0.014197797451954222,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.9929820773051177,1.0,1.0,1.0,1.0,1.0,0.9923882530770892,0.03463074929820773,0.21971496437054633,2.699201036493198e-05
sparkov,456,29.0,0.0,0.4695782347600678,0.9656661628158065,0.005221651781009053,0.8895486935866983,0.9926851651911034,0.01606024616713453,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.9926851651911034,1.0,1.0,1.0,1.0,1.0,0.9895001079680414,0.03719499028287627,0.34414813215288276,0.0001619520621895919
