seed,attack,clean_pr_auc,clean_accuracy,clean_recall,robust_pr_auc,robust_accuracy,robust_recall,clean_feasibility,adv_feasibility,flipped_positives,feasible_flipped,attack_time_sec,adv_i_amt_positive,adv_i_c_nonneg,adv_i_d_nonneg,adv_i_product_ohe,adv_i_card4_ohe,adv_i_card6_ohe,n_mutable_dims
42,unconstrained,0.4360135623166375,0.9022098044196089,0.5734597156398105,0.0610564997844223,0.1576496486326306,0.0734597156398104,1.0,0.0,211,0,0.3,1.0,1.0,0.4057234781136229,0.0303107272881212,0.0323427313521293,0.1989670646007958,
42,oheproj,0.4360135623166375,0.9022098044196089,0.5734597156398105,0.0625328140623681,0.169249005164677,0.0734597156398104,1.0,0.4053001439336212,211,44,0.3,1.0,1.0,0.4053001439336212,1.0,1.0,1.0,
123,unconstrained,0.481126499688195,0.9091524849716366,0.5876777251184834,0.0735872767553222,0.1480822961645923,0.1113744075829383,0.9998306663279992,0.0004233341800016,201,0,0.2,1.0,1.0,0.93497586995174,0.0283633900601134,0.0348827364321395,0.2379138091609516,
123,oheproj,0.481126499688195,0.9091524849716366,0.5876777251184834,0.0758889793610755,0.1573956481246295,0.1137440758293838,0.9998306663279992,0.9331978663957328,200,143,0.2,1.0,1.0,0.9331978663957328,1.0,1.0,1.0,
456,unconstrained,0.3785382136532181,0.8933197866395732,0.5402843601895735,0.0531593261583795,0.1728050122766912,0.0639810426540284,1.0,0.000254000508001,201,0,0.2,1.0,1.0,0.1796630259927186,0.0594361188722377,0.03750740834815,0.2040470747608161,
456,oheproj,0.3785382136532181,0.8933197866395732,0.5402843601895735,0.0561426593694629,0.1833883667767335,0.0663507109004739,1.0,0.1819490305647278,200,55,0.2,1.0,1.0,0.1819490305647278,1.0,1.0,1.0,
42,m_oheproj,0.4551041060084764,0.9008551350436034,0.6113744075829384,0.4339619720752654,0.8884091101515537,0.5876777251184834,1.0,1.0,10,10,0.4,1.0,1.0,1.0,1.0,1.0,1.0,
123,m_oheproj,0.4544854348375634,0.9033951401236135,0.6279620853080569,0.4301597845877581,0.8894251121835577,0.6232227488151659,0.9998306663279992,0.9998306663279992,2,2,0.4,1.0,1.0,0.9999153331639996,1.0,1.0,0.9999153331639996,
456,m_oheproj,0.3882682622793572,0.8855304377275421,0.5947867298578199,0.3624478535014567,0.8710524087714842,0.5710900473933649,1.0,1.0,10,10,0.4,1.0,1.0,1.0,1.0,1.0,1.0,
42,m_tight_oheproj,0.4424084426156038,0.8972144610955889,0.5971563981042654,0.43382808053125604,0.8917111167555668,0.5853080568720379,1.0,1.0,5,5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,6.0
123,m_tight_oheproj,0.4252407478109708,0.8779104224875116,0.5995260663507109,0.41463973775725405,0.8699517399034798,0.5995260663507109,0.9998306663279993,0.9998306663279993,0,0,0.4,1.0,1.0,0.9999153331639996,1.0,1.0,0.9999153331639996,6.0
456,m_tight_oheproj,0.40447621566504277,0.9127084920836508,0.5260663507109005,0.3936284027652374,0.9074591482516299,0.5213270142180095,1.0,1.0,2,2,0.4,1.0,1.0,1.0,1.0,1.0,1.0,6.0
42,m_wide_oheproj,0.4573118589271121,0.8785877571755144,0.6492890995260664,0.10495323489680225,0.7437134874269749,0.11611374407582939,1.0,1.0,225,225,0.3,1.0,1.0,1.0,1.0,1.0,1.0,154.0
123,m_wide_oheproj,0.47473301965252923,0.9133858267716536,0.6066350710900474,0.10672686624774752,0.815256963847261,0.11611374407582939,0.9998306663279993,0.9998306663279993,207,207,0.3,1.0,1.0,0.9999153331639996,1.0,1.0,0.9999153331639996,155.0
456,m_wide_oheproj,0.4006999945703722,0.9151638303276607,0.5355450236966824,0.08545502649950754,0.8300736601473203,0.08767772511848342,1.0,1.0,189,189,0.3,1.0,1.0,1.0,1.0,1.0,1.0,156.0
