status,item,detail,evidence
PASS,results/adv_examples/cross_dataset_feasibility/gradient.png,valid nonblank image,size=1080x600; bytes=38258
PASS,results/adv_examples/g1_projection/g1_projection_bars.png,valid nonblank image,size=2250x570; bytes=83313
PASS,results/adv_examples/ieee_ohe_projection/ieee_ohe_projection_bars.png,valid nonblank image,size=2250x570; bytes=74413
PASS,results/adv_examples/ieee_ohe_projection/ieee_ohe_projection_dose_response.png,valid nonblank image,size=1800x600; bytes=85925
PASS,results/figures/attack_comparison.png,valid nonblank image,size=1500x900; bytes=47519
PASS,results/figures/defence_heatmap.png,valid nonblank image,size=1200x600; bytes=69704
PASS,results/figures/input_validation_analysis.png,valid nonblank image,size=2984x742; bytes=52622
PASS,results/figures/robustness_bars.png,valid nonblank image,size=2100x1500; bytes=190186
PASS,results/figures/robustness_curves.png,valid nonblank image,size=2700x1500; bytes=118023
PASS,results/figures/summary_table.png,valid nonblank image,size=2685x2212; bytes=330772
PASS,results/figures/training_time.png,valid nonblank image,size=1500x900; bytes=45997
PASS,results/mask_ablation/e1_affordable_curve.png,valid nonblank image,size=1200x600; bytes=51009
PASS,results/mask_ablation/e1_cost_distribution.png,valid nonblank image,size=1200x600; bytes=31728
PASS,results/metric_analysis/adv_vs_advctr_lcld.png,valid nonblank image,size=1184x881; bytes=93797
PASS,results/metric_analysis/rank_sensitivity_lcld.pdf,valid PDF,bytes=20357
PASS,results/metric_analysis/rank_sensitivity_lcld.png,valid nonblank image,size=2234x731; bytes=173008
PASS,results/adv_examples/cross_dataset_feasibility/gradient.png,direct filename provenance found,notebooks/cross_dataset_feasibility.ipynb
PASS,results/adv_examples/g1_projection/g1_projection_bars.png,direct filename provenance found,notebooks/g1_projection_attack.ipynb
PASS,results/adv_examples/ieee_ohe_projection/ieee_ohe_projection_bars.png,direct filename provenance found,notebooks/ieee_cis_ohe_projection_attack.ipynb
PASS,results/adv_examples/ieee_ohe_projection/ieee_ohe_projection_dose_response.png,direct filename provenance found,notebooks/ieee_cis_ohe_projection_attack.ipynb
PASS,results/figures/attack_comparison.png,direct filename provenance found,scripts/generate_figures.py
PASS,results/figures/defence_heatmap.png,direct filename provenance found,scripts/generate_figures.py
PASS,results/figures/input_validation_analysis.png,direct filename provenance found,scripts/analyse_input_validation.py
PASS,results/figures/robustness_bars.png,direct filename provenance found,scripts/generate_figures.py
PASS,results/figures/robustness_curves.png,direct filename provenance found,scripts/generate_figures.py
PASS,results/figures/summary_table.png,direct filename provenance found,scripts/generate_figures.py
PASS,results/figures/training_time.png,direct filename provenance found,scripts/generate_figures.py
PASS,results/mask_ablation/e1_affordable_curve.png,direct filename provenance found,notebooks/mask_ablation.ipynb
PASS,results/mask_ablation/e1_cost_distribution.png,direct filename provenance found,notebooks/mask_ablation.ipynb
PASS,results/metric_analysis/adv_vs_advctr_lcld.png,direct filename provenance found,notebooks/tabularbench_metric_analysis.ipynb
PASS,results/metric_analysis/rank_sensitivity_lcld.pdf,direct filename provenance found,notebooks/tabularbench_metric_analysis.ipynb
PASS,results/metric_analysis/rank_sensitivity_lcld.png,direct filename provenance found,notebooks/tabularbench_metric_analysis.ipynb
PASS,results/figures/summary_table.csv,reproduces from canonical registry,"source=results/registry_clean.csv; filters=exclude z5/z10/eps_sweep; groupby=dataset,model_type,defence_type,attack_type,attack_epsilon"
PASS,results/figures/input_validation_analysis.csv,reproduces from canonical registry,"source=results/registry_clean.csv; filters=epsilon=0.1, exclude z5/z10/eps_sweep; groupby=dataset,model_type,attack_type,attack_epsilon"
PASS,results/figures/adv_training_tradeoffs.csv,reproduces from canonical registry,"source=results/registry_clean.csv; filters=exclude z5/z10/eps_sweep; groupby=dataset,model_type,attack_type,attack_epsilon"
PASS,results/figures/statistical_tests.csv,reproduces from canonical registry,"source=results/registry_clean.csv; filters=epsilon=0.1, exclude z5/z10/eps_sweep; pairs=seed,attack_type,attack_epsilon"
PASS,default figure filters,exclude z5/z10 and epsilon-sweep rows,rows=102; canonical_epsilon=0.1
PASS,results/figures/robustness_bars.png,canonical epsilon source slice is non-empty,"rows=35; datasets=['ccfd', 'ieee_cis', 'lcld', 'sparkov']"
PASS,results/figures/attack_comparison.png; results/figures/defence_heatmap.png,default attack and defence source slices are non-empty,"attacks=['capgd', 'hopskipjump', 'square']; defences=['adversarial_training', 'ensemble', 'input_validation', 'none']"
PASS,results/figures/robustness_curves.png,uses neural epsilon sweeps plus canonical single-point defences,series=12; multi_epsilon_series=4
