dataset,model_type,defence_type,attack_type,attack_epsilon,clean_pr_auc,robust_pr_auc,clean_f1,robust_f1
ccfd,ensemble,ensemble,capgd,0.1,0.8479 +/- 0.0429,0.7939 +/- 0.0742,0.4507 +/- 0.1536,0.1886 +/- 0.0582
ccfd,ensemble,ensemble,square,0.1,0.7932 +/- 0.2107,0.7307 +/- 0.2302,0.7302 +/- 0.1099,0.5641 +/- 0.1110
ccfd,neural,adversarial_training,capgd,0.1,0.7018 +/- 0.0202,0.6514 +/- 0.0369,0.2824 +/- 0.0330,0.1149 +/- 0.0083
ccfd,neural,input_validation,capgd,0.1,0.6117 +/- 0.1729,0.4223 +/- 0.2207,0.2703 +/- 0.0786,0.0652 +/- 0.0164
ccfd,neural,none,capgd,0.01,0.7292 +/- 0.0058,0.7179 +/- 0.0095,0.3357 +/- 0.0610,0.2923 +/- 0.0548
ccfd,neural,none,capgd,0.05,0.7292 +/- 0.0058,0.6735 +/- 0.0096,0.3357 +/- 0.0610,0.1726 +/- 0.0291
ccfd,neural,none,capgd,0.1,0.7270 +/- 0.0272,0.5839 +/- 0.0659,0.3250 +/- 0.0871,0.0825 +/- 0.0216
ccfd,neural,none,capgd,0.15,0.7292 +/- 0.0058,0.4921 +/- 0.0273,0.3357 +/- 0.0610,0.0409 +/- 0.0071
ccfd,neural,none,capgd,0.2,0.7292 +/- 0.0058,0.4171 +/- 0.0261,0.3357 +/- 0.0610,0.0205 +/- 0.0026
ccfd,neural,none,capgd,0.3,0.7292 +/- 0.0058,0.2731 +/- 0.0296,0.3357 +/- 0.0610,0.0076 +/- 0.0006
ccfd,tree,input_validation,capgd,0.1,0.7680 +/- 0.1322,0.7680 +/- 0.1322,0.5528 +/- 0.3231,0.5528 +/- 0.3231
ccfd,tree,none,capgd,0.1,0.8511 +/- 0.0303,0.8511 +/- 0.0303,0.8454 +/- 0.0394,0.8454 +/- 0.0394
ccfd,tree,none,hopskipjump,0.1,0.8149 +/- 0.1900,0.0016 +/- 0.0011,0.7885 +/- 0.1952,0.0010 +/- 0.0009
ccfd,tree,none,square,0.1,0.8149 +/- 0.1900,0.7769 +/- 0.2206,0.7885 +/- 0.1952,0.6898 +/- 0.2407
ieee_cis,ensemble,ensemble,capgd,0.1,0.6351 +/- 0.0020,0.0302 +/- 0.0077,0.3779 +/- 0.0214,0.0088 +/- 0.0014
ieee_cis,ensemble,ensemble,square,0.1,0.5223 +/- 0.0151,0.0725 +/- 0.0099,0.3400 +/- 0.0169,0.0410 +/- 0.0034
ieee_cis,neural,adversarial_training,capgd,0.1,0.4718 +/- 0.0370,0.2793 +/- 0.0398,0.3152 +/- 0.0109,0.1426 +/- 0.0094
