run_id,dataset,seed,epsilon,model,defence,protocol,constraint_name,clean_pass_rate,adversarial_pass_rate,is_binding
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__A_unconstrained,IEEE-CIS,42,0.01,MLP,none,A_unconstrained,i_product_ohe,1.0,0.6746253492506985,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__A_unconstrained,IEEE-CIS,42,0.01,MLP,none,A_unconstrained,i_card4_ohe,1.0,0.9492845652357972,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__A_unconstrained,IEEE-CIS,42,0.01,MLP,none,A_unconstrained,i_card6_ohe,1.0,0.9667259334518669,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__A_unconstrained,IEEE-CIS,42,0.01,MLP,none,A_unconstrained,i_d_nonneg,1.0,0.608500550334434,True
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__A_unconstrained,IEEE-CIS,42,0.01,MLP,none,A_unconstrained,i_c_nonneg,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__A_unconstrained,IEEE-CIS,42,0.01,MLP,none,A_unconstrained,i_amt_positive,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C1_projection,IEEE-CIS,42,0.01,MLP,none,C1_projection,i_product_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C1_projection,IEEE-CIS,42,0.01,MLP,none,C1_projection,i_card4_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C1_projection,IEEE-CIS,42,0.01,MLP,none,C1_projection,i_card6_ohe,1.0,1.0,False
nb1_capgd_grid__IEEE-CIS__MLP__none__s42__e0.01__C1_projection,IEEE-CIS,42,0.01,MLP,none,C1_projection,i_d_nonneg,1.0,0.6060452120904242,True
