run_id,notebook,dataset,model,defence,attack,protocol,seed,epsilon,same_model_group_id,model_weight_hash,n_test,clean_pr_auc,robust_pr_auc,clean_roc_auc,robust_roc_auc,clean_accuracy,robust_accuracy,flipped_count,feasible_count,feasible_flipped_count,fsr,aggregate_feasibility,main_failed_constraint,attack_runtime_sec,notes
nb1_capgd_grid__CCFD__MLP__none__s42__e0.01__A_unconstrained,nb1_capgd_grid,CCFD,MLP,none,CAPGD,A_unconstrained,42,0.01,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399438,0.9989468141126909,0.9989468141126909,0,5697,0,,1.0,none,0.071,
nb1_capgd_grid__CCFD__MLP__none__s42__e0.01__B_posthoc_filter,nb1_capgd_grid,CCFD,MLP,none,CAPGD,B_posthoc_filter,42,0.01,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399438,0.9989468141126909,0.9989468141126909,0,5697,0,,1.0,none,0.0,derived from A_unconstrained (post-hoc feasibility filter)
nb1_capgd_grid__CCFD__MLP__none__s42__e0.05__A_unconstrained,nb1_capgd_grid,CCFD,MLP,none,CAPGD,A_unconstrained,42,0.05,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399438,0.9989468141126909,0.9977180972441636,0,5697,0,,1.0,none,0.025,
nb1_capgd_grid__CCFD__MLP__none__s42__e0.05__B_posthoc_filter,nb1_capgd_grid,CCFD,MLP,none,CAPGD,B_posthoc_filter,42,0.05,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399438,0.9989468141126909,0.9977180972441636,0,5697,0,,1.0,none,0.0,derived from A_unconstrained (post-hoc feasibility filter)
nb1_capgd_grid__CCFD__MLP__none__s42__e0.1__A_unconstrained,nb1_capgd_grid,CCFD,MLP,none,CAPGD,A_unconstrained,42,0.1,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399438,0.9989468141126909,0.9963138493944181,0,5697,0,,1.0,none,0.024,
nb1_capgd_grid__CCFD__MLP__none__s42__e0.1__B_posthoc_filter,nb1_capgd_grid,CCFD,MLP,none,CAPGD,B_posthoc_filter,42,0.1,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399438,0.9989468141126909,0.9963138493944181,0,5697,0,,1.0,none,0.0,derived from A_unconstrained (post-hoc feasibility filter)
nb1_capgd_grid__CCFD__MLP__none__s42__e0.15__A_unconstrained,nb1_capgd_grid,CCFD,MLP,none,CAPGD,A_unconstrained,42,0.15,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399438,0.9989468141126909,0.9910479199578726,0,5697,0,,1.0,none,0.024,
nb1_capgd_grid__CCFD__MLP__none__s42__e0.15__B_posthoc_filter,nb1_capgd_grid,CCFD,MLP,none,CAPGD,B_posthoc_filter,42,0.15,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399438,0.9989468141126909,0.9910479199578726,0,5697,0,,1.0,none,0.0,derived from A_unconstrained (post-hoc feasibility filter)
nb1_capgd_grid__CCFD__MLP__none__s42__e0.2__A_unconstrained,nb1_capgd_grid,CCFD,MLP,none,CAPGD,A_unconstrained,42,0.2,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399437,0.9989468141126909,0.9754256626294541,0,5697,0,,1.0,none,0.023,
nb1_capgd_grid__CCFD__MLP__none__s42__e0.2__B_posthoc_filter,nb1_capgd_grid,CCFD,MLP,none,CAPGD,B_posthoc_filter,42,0.2,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399437,0.9989468141126909,0.9754256626294541,0,5697,0,,1.0,none,0.0,derived from A_unconstrained (post-hoc feasibility filter)
