dataset,protocol,metric,anchor_value,tolerance,fresh_value,status
LCLD,A_unconstrained,robust_pr_auc,0.105,0.02,0.1051,ok
LCLD,A_unconstrained,feasible_flipped_count,3.0,3.0,3.6667,ok
LCLD,B_posthoc_filter,robust_pr_auc,0.3,0.03,0.3061,ok
LCLD,C1_projection,robust_pr_auc,0.105,0.02,0.1051,ok
LCLD,C1_projection,feasible_flipped_count,2111.0,250.0,2071.0,ok
LCLD,C2_mask_projection,robust_accuracy,0.153,0.05,0.1705,ok
LCLD,C2_mask_projection,fsr,1.0,0.001,1.0,ok
IEEE-CIS,A_unconstrained,robust_pr_auc,0.068,0.02,0.0755,ok
IEEE-CIS,A_unconstrained,feasible_flipped_count,0.0,1.0,0.0,ok
IEEE-CIS,B_posthoc_filter,robust_pr_auc,0.43,0.03,0.4328,ok
IEEE-CIS,C1_projection,robust_pr_auc,0.065,0.02,0.0787,ok
IEEE-CIS,C1_projection,feasible_flipped_count,81.0,60.0,93.6667,ok
IEEE-CIS,C2_mask_projection,robust_pr_auc,0.409,0.05,0.4121,ok
IEEE-CIS,C2_mask_projection,robust_accuracy,0.883,0.05,0.8857,ok
IEEE-CIS,C2_mask_projection,feasible_flipped_count,7.0,6.0,4.3333,ok
CCFD,A_unconstrained,robust_pr_auc,0.58,0.08,0.5978,ok
Sparkov,A_unconstrained,robust_pr_auc,0.005,0.01,0.0054,ok
Sparkov,A_unconstrained,aggregate_feasibility,0.0001,0.0005,0.0,ok
