dataset,model,defence,attack,protocol,n_rows,n_seeds,n_eps,status,design_axes
CCFD,Ensemble,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
CCFD,Ensemble,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
CCFD,Ensemble,none,Square,not_applicable,3,3,1,deferred (Cartella-style future work),
CCFD,MLP,adversarial_training,CAPGD,A_unconstrained,3,3,1,measured,"1,3,5,6"
CCFD,MLP,adversarial_training,CAPGD,B_posthoc_filter,3,3,1,derived from A,"1,3,5,6"
CCFD,MLP,input_validation,CAPGD,A_unconstrained,3,3,1,measured,"1,3,5,6"
CCFD,MLP,input_validation,CAPGD,B_posthoc_filter,3,3,1,derived from A,"1,3,5,6"
CCFD,MLP,none,CAPGD,A_unconstrained,15,3,5,measured,"1,3,5,7"
CCFD,MLP,none,CAPGD,B_posthoc_filter,15,3,5,derived from A,"1,3,5,7"
CCFD,MLP,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
CCFD,MLP,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
CCFD,XGBoost,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
CCFD,XGBoost,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
CCFD,XGBoost,none,Square,not_applicable,3,3,1,deferred (Cartella-style future work),
IEEE-CIS,Ensemble,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
IEEE-CIS,Ensemble,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
IEEE-CIS,Ensemble,none,Square,not_applicable,3,3,1,deferred (Cartella-style future work),
IEEE-CIS,MLP,adversarial_training,CAPGD,A_unconstrained,3,3,1,measured,"1,3,5,6"
IEEE-CIS,MLP,adversarial_training,CAPGD,B_posthoc_filter,3,3,1,derived from A,"1,3,5,6"
IEEE-CIS,MLP,adversarial_training,CAPGD,C1_projection,3,3,1,measured,"1,3,5,6"
IEEE-CIS,MLP,adversarial_training,CAPGD,C2_mask_projection,3,3,1,measured,"1,3,4,5,6"
IEEE-CIS,MLP,input_validation,CAPGD,A_unconstrained,3,3,1,measured,"1,3,5,6"
IEEE-CIS,MLP,input_validation,CAPGD,B_posthoc_filter,3,3,1,derived from A,"1,3,5,6"
IEEE-CIS,MLP,input_validation,CAPGD,C1_projection,3,3,1,measured,"1,3,5,6"
IEEE-CIS,MLP,input_validation,CAPGD,C2_mask_projection,3,3,1,measured,"1,3,4,5,6"
IEEE-CIS,MLP,none,CAPGD,A_unconstrained,15,3,5,measured,"1,3,5,7"
IEEE-CIS,MLP,none,CAPGD,B_posthoc_filter,15,3,5,derived from A,"1,3,5,7"
IEEE-CIS,MLP,none,CAPGD,C1_projection,15,3,5,measured,"1,3,5,7"
IEEE-CIS,MLP,none,CAPGD,C2_mask_projection,15,3,5,measured,"1,3,4,5,7"
IEEE-CIS,MLP,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
IEEE-CIS,MLP,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
IEEE-CIS,XGBoost,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
IEEE-CIS,XGBoost,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
IEEE-CIS,XGBoost,none,Square,not_applicable,3,3,1,deferred (Cartella-style future work),
LCLD,Ensemble,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
LCLD,Ensemble,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
LCLD,Ensemble,none,Square,not_applicable,3,3,1,deferred (Cartella-style future work),
LCLD,MLP,adversarial_training,CAPGD,A_unconstrained,3,3,1,measured,"1,3,5,6"
LCLD,MLP,adversarial_training,CAPGD,B_posthoc_filter,3,3,1,derived from A,"1,3,5,6"
LCLD,MLP,adversarial_training,CAPGD,C1_projection,3,3,1,measured,"1,3,5,6"
LCLD,MLP,adversarial_training,CAPGD,C2_mask_projection,3,3,1,measured,"1,3,4,5,6"
LCLD,MLP,input_validation,CAPGD,A_unconstrained,3,3,1,measured,"1,3,5,6"
LCLD,MLP,input_validation,CAPGD,B_posthoc_filter,3,3,1,derived from A,"1,3,5,6"
LCLD,MLP,input_validation,CAPGD,C1_projection,3,3,1,measured,"1,3,5,6"
LCLD,MLP,input_validation,CAPGD,C2_mask_projection,3,3,1,measured,"1,3,4,5,6"
LCLD,MLP,none,CAPGD,A_unconstrained,15,3,5,measured,"1,3,5,7"
LCLD,MLP,none,CAPGD,B_posthoc_filter,15,3,5,derived from A,"1,3,5,7"
LCLD,MLP,none,CAPGD,C1_projection,15,3,5,measured,"1,3,5,7"
LCLD,MLP,none,CAPGD,C2_mask_projection,15,3,5,measured,"1,3,4,5,7"
LCLD,MLP,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
LCLD,MLP,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
LCLD,XGBoost,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
LCLD,XGBoost,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
LCLD,XGBoost,none,Square,not_applicable,3,3,1,deferred (Cartella-style future work),
Sparkov,Ensemble,none,Square,A_unconstrained,3,3,1,measured,"1,2,5"
Sparkov,Ensemble,none,Square,B_posthoc_filter,3,3,1,derived from A,"1,2,5"
Sparkov,Ensemble,none,Square,not_applicable,3,3,1,deferred (Cartella-style future work),
Sparkov,MLP,adversarial_training,CAPGD,A_unconstrained,3,3,1,measured,"1,3,5,6"
Sparkov,MLP,adversarial_training,CAPGD,B_posthoc_filter,3,3,1,derived from A,"1,3,5,6"
Sparkov,MLP,adversarial_training,CAPGD,C1_projection,3,3,1,measured,"1,3,5,6"
Sparkov,MLP,adversarial_training,CAPGD,C2_mask_projection,3,3,1,measured,"1,3,4,5,6"
Sparkov,MLP,input_validation,CAPGD,A_unconstrained,3,3,1,measured,"1,3,5,6"
