dataset,attack,epsilon,clean_pr_auc,robust_pr_auc,clean_roc_auc,robust_roc_auc,clean_gap_roc_minus_pr,pr_drop,roc_drop,rocauc_hides_collapse,rocauc_inverted
CCFD,CAPGD,0.01,0.683,0.6724,0.916,0.9383,0.2329,0.0107,-0.0223,False,False
CCFD,CAPGD,0.05,0.683,0.6412,0.916,0.9107,0.2329,0.0419,0.0052,False,False
CCFD,CAPGD,0.1,0.683,0.5978,0.916,0.8777,0.2329,0.0852,0.0383,False,False
CCFD,CAPGD,0.15,0.683,0.5536,0.916,0.8557,0.2329,0.1294,0.0602,False,False
CCFD,CAPGD,0.2,0.683,0.5172,0.916,0.8327,0.2329,0.1659,0.0832,False,False
CCFD,Square,0.1,0.683,0.6508,0.916,0.9202,0.2329,0.0322,-0.0042,False,False
IEEE-CIS,CAPGD,0.01,0.4328,0.2782,0.8113,0.6097,0.3785,0.1546,0.2016,False,False
IEEE-CIS,CAPGD,0.05,0.4328,0.1187,0.8113,0.1938,0.3785,0.3141,0.6175,False,True
IEEE-CIS,CAPGD,0.1,0.4328,0.0755,0.8113,0.0976,0.3785,0.3573,0.7137,False,True
IEEE-CIS,CAPGD,0.15,0.4328,0.0343,0.8113,0.0842,0.3785,0.3985,0.7271,False,True
IEEE-CIS,CAPGD,0.2,0.4328,0.0311,0.8113,0.0684,0.3785,0.4017,0.7429,False,True
IEEE-CIS,Square,0.1,0.4328,0.1088,0.8113,0.4357,0.3785,0.324,0.3756,False,True
LCLD,CAPGD,0.01,0.3084,0.1728,0.659,0.4509,0.3506,0.1356,0.2081,False,True
LCLD,CAPGD,0.05,0.3084,0.1055,0.659,0.0232,0.3506,0.2029,0.6358,False,True
LCLD,CAPGD,0.1,0.3084,0.1051,0.659,0.0002,0.3506,0.2034,0.6588,False,True
LCLD,CAPGD,0.15,0.3084,0.1051,0.659,0.0,0.3506,0.2034,0.659,False,True
LCLD,CAPGD,0.2,0.3084,0.1051,0.659,0.0,0.3506,0.2034,0.659,False,True
LCLD,Square,0.1,0.3084,0.1206,0.659,0.2029,0.3506,0.1878,0.456,False,True
Sparkov,CAPGD,0.01,0.6256,0.1475,0.9599,0.8206,0.3344,0.478,0.1393,True,False
Sparkov,CAPGD,0.05,0.6256,0.0034,0.9599,0.0326,0.3344,0.6222,0.9273,False,True
Sparkov,CAPGD,0.1,0.6256,0.0054,0.9599,0.004,0.3344,0.6202,0.956,False,True
Sparkov,CAPGD,0.15,0.6256,0.0054,0.9599,0.0225,0.3344,0.6202,0.9375,False,True
Sparkov,CAPGD,0.2,0.6256,0.0054,0.9599,0.1103,0.3344,0.6202,0.8496,False,True
Sparkov,Square,0.1,0.6256,0.0033,0.9599,0.2084,0.3344,0.6223,0.7516,False,True
