run_id,notebook,dataset,model,defence,attack,protocol,seed,epsilon,same_model_group_id,model_weight_hash,n_test,clean_pr_auc,robust_pr_auc,clean_roc_auc,robust_roc_auc,clean_accuracy,robust_accuracy,flipped_count,feasible_count,feasible_flipped_count,fsr,aggregate_feasibility,main_failed_constraint,attack_runtime_sec,notes
nb2_square_family__CCFD__MLP__none__s42__e0.1__A_unconstrained,nb2_square_family,CCFD,MLP,none,Square,A_unconstrained,42,0.1,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399438,0.9989468141126909,0.9971915043005091,0,5697,0,,1.0,none,8.203,
nb2_square_family__CCFD__MLP__none__s42__e0.1__B_posthoc_filter,nb2_square_family,CCFD,MLP,none,Square,B_posthoc_filter,42,0.1,CCFD__MLP__none__s42,e3dd8b326652aa95,5697,0.9,0.9,0.9999120956399438,0.9999120956399438,0.9989468141126909,0.9971915043005091,0,5697,0,,1.0,none,0.0,derived from A_unconstrained (post-hoc feasibility filter)
nb2_square_family__CCFD__MLP__none__s123__e0.1__A_unconstrained,nb2_square_family,CCFD,MLP,none,Square,A_unconstrained,123,0.1,CCFD__MLP__none__s123,fdafb08d6bf217ba,5697,0.5918880947845895,0.533699097781029,0.8896604938271605,0.9461146272855134,0.9984202211690363,0.9966649113568545,0,5697,0,,1.0,none,8.127,
nb2_square_family__CCFD__MLP__none__s123__e0.1__B_posthoc_filter,nb2_square_family,CCFD,MLP,none,Square,B_posthoc_filter,123,0.1,CCFD__MLP__none__s123,fdafb08d6bf217ba,5697,0.5918880947845895,0.533699097781029,0.8896604938271605,0.9461146272855134,0.9984202211690363,0.9966649113568545,0,5697,0,,1.0,none,0.0,derived from A_unconstrained (post-hoc feasibility filter)
nb2_square_family__CCFD__MLP__none__s456__e0.1__A_unconstrained,nb2_square_family,CCFD,MLP,none,Square,A_unconstrained,456,0.1,CCFD__MLP__none__s456,8b2b93d1f636aed2,5697,0.5571789563619628,0.5186826584486448,0.8582981715893109,0.814443663072355,0.9985957521502545,0.9971915043005091,0,5697,0,,1.0,none,8.098,
nb2_square_family__CCFD__MLP__none__s456__e0.1__B_posthoc_filter,nb2_square_family,CCFD,MLP,none,Square,B_posthoc_filter,456,0.1,CCFD__MLP__none__s456,8b2b93d1f636aed2,5697,0.5571789563619628,0.5186826584486448,0.8582981715893109,0.814443663072355,0.9985957521502545,0.9971915043005091,0,5697,0,,1.0,none,0.0,derived from A_unconstrained (post-hoc feasibility filter)
nb2_square_family__CCFD__XGBoost__none__s42__e0.1__A_unconstrained,nb2_square_family,CCFD,XGBoost,none,Square,A_unconstrained,42,0.1,CCFD__XGBoost__none__s42,5ce96cdd2df53c4f,5697,1.0000000000000002,0.9888888888888892,1.0,0.9999804656977653,1.0,0.9998244690187819,1,5697,1,1.0,1.0,none,31.684,
nb2_square_family__CCFD__XGBoost__none__s42__e0.1__B_posthoc_filter,nb2_square_family,CCFD,XGBoost,none,Square,B_posthoc_filter,42,0.1,CCFD__XGBoost__none__s42,5ce96cdd2df53c4f,5697,1.0000000000000002,0.9888888888888892,1.0,0.9999804656977653,1.0,0.9998244690187819,1,5697,1,1.0,1.0,none,0.0,derived from A_unconstrained (post-hoc feasibility filter)
nb2_square_family__CCFD__XGBoost__none__s123__e0.1__A_unconstrained,nb2_square_family,CCFD,XGBoost,none,Square,A_unconstrained,123,0.1,CCFD__XGBoost__none__s123,26e5c25f5e2e4f05,5697,0.8242378536496184,0.791180623438688,0.9994530395374277,0.9991404907016721,0.9992978760751272,0.9989468141126909,0,5697,0,,1.0,none,32.036,
nb2_square_family__CCFD__XGBoost__none__s123__e0.1__B_posthoc_filter,nb2_square_family,CCFD,XGBoost,none,Square,B_posthoc_filter,123,0.1,CCFD__XGBoost__none__s123,26e5c25f5e2e4f05,5697,0.8242378536496184,0.791180623438688,0.9994530395374277,0.9991404907016721,0.9992978760751272,0.9989468141126909,0,5697,0,,1.0,none,0.0,derived from A_unconstrained (post-hoc feasibility filter)
nb2_square_family__CCFD__XGBoost__none__s456__e0.1__A_unconstrained,nb2_square_family,CCFD,XGBoost,none,Square,A_unconstrained,456,0.1,CCFD__XGBoost__none__s456,f4917a11416a570c,5697,0.6204244243858842,0.5433972470964905,0.9770471948741991,0.9646624472573839,0.9991223450939091,0.9987712831314727,1,5697,1,1.0,1.0,none,32.569,
nb2_square_family__CCFD__XGBoost__none__s456__e0.1__B_posthoc_filter,nb2_square_family,CCFD,XGBoost,none,Square,B_posthoc_filter,456,0.1,CCFD__XGBoost__none__s456,f4917a11416a570c,5697,0.6204244243858842,0.5433972470964905,0.9770471948741991,0.9646624472573839,0.9991223450939091,0.9987712831314727,1,5697,1,1.0,1.0,none,0.0,derived from A_unconstrained (post-hoc feasibility filter)
