dataset,model,defence,protocol,epsilon,mean_robust_pr_auc,std_robust_pr_auc,mean_robust_roc_auc,std_robust_roc_auc,mean_flipped_count,std_flipped_count,mean_feasible_flipped_count,std_feasible_flipped_count,mean_fsr,std_fsr,mean_aggregate_feasibility,std_aggregate_feasibility,mean_robust_accuracy,std_robust_accuracy,n_seeds
CCFD,Ensemble,none,A_unconstrained,0.1,0.7277514242258517,0.23687076434704646,0.9651703391154868,0.05926376029742846,0.6666666666666666,1.1547005383792517,0.6666666666666666,1.1547005383792517,1.0,,1.0,0.0,0.997601076590018,0.0005067142962871381,3
CCFD,Ensemble,none,B_posthoc_filter,0.1,0.7277514242258517,0.23687076434704646,0.9651703391154868,0.05926376029742846,0.6666666666666666,1.1547005383792517,0.6666666666666666,1.1547005383792517,1.0,,1.0,0.0,0.997601076590018,0.0005067142962871381,3
CCFD,MLP,none,A_unconstrained,0.1,0.6507939187432247,0.21594936111059623,0.9201567953326041,0.09542007990743435,0.0,0.0,0.0,0.0,,,1.0,0.0,0.9970159733192908,0.00030402857777244786,3
CCFD,MLP,none,B_posthoc_filter,0.1,0.6507939187432247,0.21594936111059623,0.9201567953326041,0.09542007990743435,0.0,0.0,0.0,0.0,,,1.0,0.0,0.9970159733192908,0.00030402857777244786,3
CCFD,XGBoost,none,A_unconstrained,0.1,0.7744889198080225,0.22321438227473647,0.9879278012189404,0.020152764344275348,0.6666666666666666,0.5773502691896258,0.6666666666666666,0.5773502691896258,1.0,0.0,1.0,0.0,0.9991808554209819,0.0005642531602009468,3
CCFD,XGBoost,none,B_posthoc_filter,0.1,0.7744889198080225,0.22321438227473647,0.9879278012189404,0.020152764344275348,0.6666666666666666,0.5773502691896258,0.6666666666666666,0.5773502691896258,1.0,0.0,1.0,0.0,0.9991808554209819,0.0005642531602009468,3
IEEE-CIS,Ensemble,none,A_unconstrained,0.1,0.06341212784945723,0.015664392743981674,0.5270508515672324,0.0715465827296163,213.66666666666666,15.044378795195673,0.0,0.0,0.0,0.0,0.12502469449383338,0.017936651388726774,0.683769367538735,0.10352413844580452,3
IEEE-CIS,Ensemble,none,B_posthoc_filter,0.1,0.5158945834305896,0.02490019870327751,0.8750325450529647,0.013105582975313628,0.0,0.0,0.0,0.0,,,0.9999435554426664,9.776484111251131e-05,0.886574662038213,0.003403915693759971,3
IEEE-CIS,MLP,none,A_unconstrained,0.1,0.1087667520447871,0.02390477383479526,0.4357491645787203,0.05650536261244976,192.0,15.394804318340652,0.0,0.0,0.0,0.0,0.21832754776620664,0.048483451647010144,0.7839584568058026,0.06008138688389755,3
IEEE-CIS,MLP,none,B_posthoc_filter,0.1,0.4315912671808016,0.03355146600893087,0.8091044516916285,0.02179850455609961,0.0,0.0,0.0,0.0,,,0.9999435554426664,9.776484111251131e-05,0.8848531030395393,0.020825460190131886,3
IEEE-CIS,XGBoost,none,A_unconstrained,0.1,0.037321004163034764,0.023578297624131335,0.2941908068773436,0.08052292237600917,109.33333333333333,12.503332889007366,0.6666666666666666,0.5773502691896258,0.0064073226544622,0.005623892781439095,0.0315807298281263,0.005304362071857435,0.5909462930036972,0.215610782068058,3
IEEE-CIS,XGBoost,none,B_posthoc_filter,0.1,0.5480354271804714,0.03314457752902819,0.8952681469620156,0.010804565618066515,0.6666666666666666,0.5773502691896258,0.6666666666666666,0.5773502691896258,1.0,0.0,0.9999435554426664,9.776484111251131e-05,0.9721728332345553,0.002433834071329145,3
LCLD,Ensemble,none,A_unconstrained,0.1,0.13921263865881975,0.004858217173661185,0.3331630321632418,0.02798472424224107,2836.3333333333335,113.79513756454334,8.0,7.937253933193772,0.0028774522288649664,0.002899052321609893,0.37979120059656973,0.036795076782121725,0.3475391498881432,0.02482451571712968,3
LCLD,Ensemble,none,B_posthoc_filter,0.1,0.36724354587311075,0.003199968706402176,0.7046437981744389,0.006802842957371967,8.0,7.937253933193772,8.0,7.937253933193772,1.0,0.0,0.9980362913248819,0.00019133487842837576,0.625316927665921,0.03266272443289246,3
LCLD,MLP,none,A_unconstrained,0.1,0.1206246619722887,0.002803112993801435,0.20294548232652312,0.025380642071052274,2797.3333333333335,193.45369816401373,8.333333333333334,6.658328118479393,0.002897859926494067,0.0021540165387503194,0.38872731792194876,0.028494263838861947,0.3449291573452647,0.05069596449490069,3
LCLD,MLP,none,B_posthoc_filter,0.1,0.3053915283004805,0.0019654142773848434,0.6523329137459218,0.003918473545630921,8.333333333333334,6.658328118479393,8.333333333333334,6.658328118479393,1.0,0.0,0.9980362913248819,0.00019133487842837576,0.6279766343524732,0.02596988305710233,3
LCLD,XGBoost,none,A_unconstrained,0.1,0.17884151143225227,0.022406970280530555,0.4793152280013313,0.05803787198639404,290.3333333333333,18.8767935130237,10.0,3.605551275463989,0.03502382018822977,0.014621288731379174,0.24326373353218986,0.021344254633536106,0.739025602783992,0.019765780231451896,3
LCLD,XGBoost,none,B_posthoc_filter,0.1,0.35951922725004054,0.0019888408724266504,0.707288885960748,0.0036687140066892594,10.0,3.605551275463989,10.0,3.605551275463989,1.0,0.0,0.9980362913248819,0.00019133487842837576,0.8031444195873726,0.0006878495700731506,3
