variant,seed,n_mutable,n_immutable,clean_pr_auc,clean_accuracy,clean_recall,clean_f1,robust_pr_auc,robust_accuracy,robust_recall,robust_f1,attack_time_s
M0,42,188,0,0.2920737763189074,0.6234153616703952,0.5467351989339425,0.3625347134561979,0.10505382170088082,0.033407904548844146,0.0,0.0,0.2615175247192383
M1,42,123,65,0.2920737763189074,0.6234153616703952,0.5467351989339425,0.3625347134561979,0.10506002948033,0.1266219239373602,0.001332571863696935,0.0005973205904940695,0.09163928031921387
M2,42,123,65,0.2920737763189074,0.6234153616703952,0.5467351989339425,0.3625347134561979,0.10506020173462453,0.1262117822520507,0.0015229392727964973,0.0006822736770286981,0.10155797004699707
M3,42,122,66,0.2920737763189074,0.6234153616703952,0.5467351989339425,0.3625347134561979,0.1050614223643084,0.13005219985085756,0.001332571863696935,0.0005996744624346784,0.09214496612548828
M4,42,121,67,0.2920737763189074,0.6234153616703952,0.5467351989339425,0.3625347134561979,0.10506167081681692,0.13534675615212527,0.001142204454597373,0.000517196793379881,0.09362411499023438
M5,42,120,68,0.2920737763189074,0.6234153616703952,0.5467351989339425,0.3625347134561979,0.10506339302336892,0.13963460104399703,0.001332571863696935,0.0006063493438433886,0.09188723564147949
M6strict,42,74,114,0.2920737763189074,0.6234153616703952,0.5467351989339425,0.3625347134561979,0.10527220708769879,0.29828486204325133,0.004568817818389492,0.0025439898240407037,0.09219622611999512
M6relaxed,42,87,101,0.2920737763189074,0.6234153616703952,0.5467351989339425,0.3625347134561979,0.10513719953573021,0.2530201342281879,0.0028555111364934323,0.0014952153110047847,0.09343099594116211
M0,123,187,0,0.3088458751786141,0.6572334079045489,0.5246525794783933,0.37483849030941857,0.10506741215724183,0.0372110365398956,0.0003807348181991243,0.0001548826763726477,0.09034562110900879
M1,123,122,65,0.3088458751786141,0.6572334079045489,0.5246525794783933,0.37483849030941857,0.1051591199602133,0.16021625652498137,0.0017133066818960593,0.0007985448737855463,0.09022927284240723
M2,123,122,65,0.3088458751786141,0.6572334079045489,0.5246525794783933,0.37483849030941857,0.10516020355793596,0.1604026845637584,0.0019036740909956216,0.0008873901854645487,0.09236788749694824
M3,123,121,66,0.3088458751786141,0.6572334079045489,0.5246525794783933,0.37483849030941857,0.10516593824637697,0.16655480984340046,0.0015229392727964973,0.0007152756046314095,0.09223008155822754
M4,123,120,67,0.3088458751786141,0.6572334079045489,0.5246525794783933,0.37483849030941857,0.10516477860690836,0.16834451901565994,0.0019036740909956216,0.0008958566629339306,0.09220671653747559
M5,123,119,68,0.3088458751786141,0.6572334079045489,0.5246525794783933,0.37483849030941857,0.10517311242237871,0.17572706935123042,0.0019036740909956216,0.0009038730962172911,0.09253096580505371
M6strict,123,73,114,0.3088458751786141,0.6572334079045489,0.5246525794783933,0.37483849030941857,0.1058551928166743,0.3489187173750932,0.0074243289548829245,0.004446978335233751,0.0915381908416748
M6relaxed,123,86,101,0.3088458751786141,0.6572334079045489,0.5246525794783933,0.37483849030941857,0.10547740455150328,0.29903057419835943,0.00437845040928993,0.0024408362517245037,0.09326314926147461
M0,456,188,0,0.3101467806112439,0.6587994034302759,0.5214163335237008,0.37446168569280197,0.1050629018174774,0.05589112602535421,0.0,0.0,0.09275317192077637
M1,456,123,65,0.3101467806112439,0.6587994034302759,0.5214163335237008,0.37446168569280197,0.10507606989583329,0.18855331841909023,0.002284408909194746,0.0011015743333180337,0.09135293960571289
M2,456,123,65,0.3101467806112439,0.6587994034302759,0.5214163335237008,0.37446168569280197,0.1050765708511919,0.18870246085011186,0.00266514372739387,0.001285170055537706,0.09286761283874512
M3,456,122,66,0.3101467806112439,0.6587994034302759,0.5214163335237008,0.37446168569280197,0.10507762099667217,0.1941461595824012,0.0020940415000951836,0.001016870811185579,0.09369421005249023
M4,456,121,67,0.3101467806112439,0.6587994034302759,0.5214163335237008,0.37446168569280197,0.10507874083723227,0.1982848620432513,0.002284408909194746,0.001114930781380656,0.09333944320678711
M5,456,120,68,0.3101467806112439,0.6587994034302759,0.5214163335237008,0.37446168569280197,0.10508110019523628,0.20249813571961223,0.0028555111364934323,0.0014006256127737057,0.09273266792297363
M6strict,456,74,114,0.3101467806112439,0.6587994034302759,0.5214163335237008,0.37446168569280197,0.10541226249915699,0.3715137956748695,0.009137635636778984,0.005663048607833884,0.09117007255554199
M6relaxed,456,87,101,0.3101467806112439,0.6587994034302759,0.5214163335237008,0.37446168569280197,0.10520810688303761,0.32416107382550335,0.006662859318484675,0.0038469993405143986,0.09367656707763672
