arch,training,aug,id_recall,adv_ctr,adv,auc,accuracy,precision,recall,mcc,f1,score_original,score_f1,mcc_normalized,score_mcc,score_auc,score_harmonic,rank_score_original,rank_score_f1,rank_score_mcc,rank_score_auc,rank_score_harmonic
STG,adversarial,None,0.156,0.1208,0.156,0.678753,0.788237,0.431905,0.17184,0.169947,0.24586060402225102,45.45185,18.33303020111255,58.497350000000004,35.288675000000005,39.977650000000004,16.20024657135216,35,58,38,37,37
STG,adversarial,ctgan,0.82,0.8116,0.82,0.700189,0.505028,0.266103,0.832814,0.211827,0.4033321967388499,65.8314,60.7466098369425,60.59135,70.875675,75.58945,53.886860806166275,1,2,2,2,1
STG,adversarial,cutmix,0.376,0.362,0.376,0.703341,0.758332,0.392565,0.370981,0.231589,0.38146793053968353,56.0166,37.17339652698418,61.57945,48.889725,53.26705,37.147907847199036,27,33,32,32,32
STG,adversarial,goggle,0.694,0.682,0.694,0.697902,0.615846,0.300439,0.686784,0.228977,0.4180143658628279,64.8923,55.0007182931414,61.44885,64.824425,68.99510000000001,51.83310443306334,6,8,8,8,7
STG,adversarial,tablegan,0.627,0.6008,0.627,0.699483,0.656812,0.318333,0.620692,0.235231,0.420833835978719,62.880599999999994,51.08169179893595,61.76155,60.920775,65.01415,49.49659256607346,12,15,15,15,14
STG,adversarial,tvae,0.689,0.678,0.689,0.705579,0.625323,0.306783,0.686865,0.238974,0.4241310912391379,65.16615,55.1065545619569,61.9487,64.87435,69.17895,52.182699888552605,5,7,7,7,6
STG,adversarial,wgan,0.613,0.5968,0.613,0.699141,0.657257,0.317983,0.616881,0.233558,0.4196496410216193,62.70285,50.82248205108097,61.677899999999994,60.67895,64.79705,49.27876318786149,13,16,16,17,16
STG,standard,None,0.664,0.536,0.664,0.708675,0.645624,0.316666,0.659934,0.245234,0.427971861606802,59.081199999999995,48.1985930803401,62.2617,57.93085,62.23375,47.593280874120744,22,19,20,20,19
STG,standard,ctgan,0.833,0.595,0.833,0.70528,0.502627,0.266263,0.84069,0.2149,0.4044338674718409,54.88135,49.971693373592046,60.745000000000005,60.1225,65.01400000000001,48.15489228001063,30,17,17,16,17
STG,standard,cutmix,0.352,0.2216,0.352,0.706751,0.765953,0.403823,0.346649,0.231217,0.3730581263747271,49.377649999999996,29.732906318736354,61.56085,41.860425,46.41755,27.804103614454174,33,34,34,34,34
STG,standard,goggle,0.577,0.4328,0.577,0.703663,0.677426,0.330529,0.590782,0.242195,0.42389721528735713,55.5113,42.83486076436786,62.10975,52.694874999999996,56.823150000000005,42.83023488400535,28,28,29,29,28
STG,standard,tablegan,0.51,0.4422,0.51,0.701555,0.710423,0.348767,0.509146,0.237766,0.41396580530030835,57.63115,42.808290265015415,61.888299999999994,53.05414999999999,57.18775,42.7617356288538,25,29,28,28,29
STG,standard,tvae,0.649,0.505,0.649,0.706335,0.651681,0.318737,0.645325,0.243553,0.4267131253045226,57.83405,46.585656265226135,62.17764999999999,56.338825,60.56675,46.256754880021994,23,25,25,25,25
STG,standard,wgan,0.614,0.3774,0.614,0.704706,0.66927,0.326084,0.606003,0.241193,0.4240116689339073,52.3335,40.070583446695366,62.05965,49.899825,54.1053,39.93503215852326,32,31,31,31,31
TabNet,adversarial,None,0.0,0.0,0.001,0.655993,0.799122,0.0,0.0,0.0,0.0,39.9561,0.0,50.0,25.0,32.79965,0.0,40,64,64,69,60
TabNet,adversarial,ctgan,0.0,0.0,0.001,0.694665,0.799122,0.0,0.0,0.0,0.0,39.9561,0.0,50.0,25.0,34.73325,0.0,40,64,64,64,60
TabNet,adversarial,cutmix,0.0,0.0,0.001,0.637543,0.799122,0.0,0.0,0.0,0.0,39.9561,0.0,50.0,25.0,31.87715,0.0,40,64,64,70,60
TabNet,adversarial,goggle,1.0,1.0,1.0,0.682942,0.200878,0.200878,1.0,0.0,0.3345518861754024,60.0439,66.72759430877012,50.0,75.0,84.1471,50.13696202309829,20,1,1,1,12
TabNet,adversarial,tablegan,0.116,0.1136,0.117,0.652181,0.731814,0.225132,0.137218,0.0226107,0.17051007461004275,42.2707,14.205503730502137,51.130535,31.2452675,38.28905,13.635521022771918,36,59,58,43,39
TabNet,adversarial,tvae,0.0,0.0,0.001,0.695874,0.799122,0.0,0.0,0.0,0.0,39.9561,0.0,50.0,25.0,34.7937,0.0,40,64,64,63,60
TabNet,adversarial,wgan,0.0,0.0,0.001,0.687888,0.799122,0.0,0.0,0.0,0.0,39.9561,0.0,50.0,25.0,34.394400000000005,0.0,40,64,64,65,60
TabNet,standard,None,0.674,0.0042,0.674,0.722427,0.656,0.32615,0.668318,0.261517,0.4383688880448271,33.010000000000005,22.128444402241357,63.07585,31.747925000000002,36.33135,0.832028359660757,61,45,46,47,55
TabNet,standard,ctgan,0.029,0.0212,0.03,0.687351,0.784528,0.269577,0.0424982,0.0310081,0.07342164489667181,40.2864,4.7310822448335905,51.550405,26.835202499999998,35.427550000000004,3.2900270831113856,37,60,60,60,48
TabNet,standard,cutmix,0.0,0.0,0.001,0.699762,0.799124,1.0,1.15484e-05,0.00303786,2.309653326968553e-05,39.956199999999995,0.0011548266634842765,50.151893,25.0759465,34.9881,0.0,39,63,62,61,60
