timestamp,experiment_name,seed,dataset,model_type,defence_type,attack_type,attack_epsilon,validity_rate,adv_validity_rate,clean_pr_auc,clean_precision,clean_recall,clean_f1,robust_pr_auc,robust_precision,robust_recall,robust_f1,clean_accuracy,robust_accuracy,train_time_sec,attack_time_sec
2026-02-09T23:38:53.000659,ccfd_baseline,42,ccfd,neural,none,capgd,0.1,0.9999,1.0000,0.7132,0.1362,0.8980,0.2366,0.6765,0.0320,0.8878,0.0617,0.9900,0.9535,37.56,0.15
2026-02-09T23:39:34.640467,ccfd_baseline,123,ccfd,neural,none,capgd,0.1,0.9999,1.0000,0.6780,0.1217,0.8469,0.2128,0.4929,0.0230,0.7959,0.0447,0.9892,0.9415,32.05,0.13
2026-02-09T23:40:16.164373,ccfd_baseline,456,ccfd,neural,none,capgd,0.1,0.9997,1.0000,0.8023,0.1617,0.8878,0.2736,0.6189,0.0321,0.8776,0.0620,0.9919,0.9543,31.99,0.14
2026-02-09T23:42:40.845849,ccfd_neural_adv_train,42,ccfd,neural,adversarial_training,capgd,0.1,0.9999,1.0000,0.7215,0.1337,0.8980,0.2328,0.6430,0.0507,0.8878,0.0959,0.9898,0.9712,135.12,0.15
2026-02-09T23:45:10.572526,ccfd_neural_adv_train,123,ccfd,neural,adversarial_training,capgd,0.1,0.9999,1.0000,0.7013,0.1614,0.8367,0.2706,0.6194,0.0485,0.8163,0.0916,0.9922,0.9721,137.83,0.15
2026-02-09T23:47:41.020180,ccfd_neural_adv_train,456,ccfd,neural,adversarial_training,capgd,0.1,0.9997,1.0000,0.7050,0.1543,0.8878,0.2628,0.6510,0.0529,0.8878,0.0999,0.9914,0.9725,139.29,0.15
2026-02-09T23:48:27.636004,ccfd_neural_input_val,42,ccfd,neural,input_validation,capgd,0.1,0.9999,1.0000,0.7735,0.1712,0.8980,0.2876,0.2141,0.0296,0.7959,0.0571,0.9923,0.9548,35.62,0.13
2026-02-09T23:49:14.365083,ccfd_neural_input_val,123,ccfd,neural,input_validation,capgd,0.1,0.9999,1.0000,0.7345,0.2186,0.8163,0.3448,0.1885,0.0408,0.7755,0.0776,0.9947,0.9683,35.04,0.16
2026-02-09T23:50:03.462406,ccfd_neural_input_val,456,ccfd,neural,input_validation,capgd,0.1,0.9997,1.0000,0.7128,0.0862,0.8878,0.1572,0.0610,0.0170,0.7755,0.0334,0.9836,0.9227,37.17,0.17
2026-02-09T23:50:15.607366,ccfd_tree_baseline,42,ccfd,tree,none,capgd,0.1,0.9999,0.9999,0.8629,0.9512,0.7959,0.8667,0.8629,0.9512,0.7959,0.8667,0.9996,0.9996,0.47,0.00
2026-02-09T23:50:27.438132,ccfd_tree_baseline,123,ccfd,tree,none,capgd,0.1,0.9999,0.9999,0.8167,0.9444,0.6939,0.8000,0.8167,0.9444,0.6939,0.8000,0.9994,0.9994,0.44,0.00
2026-02-09T23:50:39.526063,ccfd_tree_baseline,456,ccfd,tree,none,capgd,0.1,0.9997,0.9997,0.8737,0.9302,0.8163,0.8696,0.8737,0.9302,0.8163,0.8696,0.9996,0.9996,0.46,0.00
2026-02-09T23:50:51.548941,ccfd_tree_input_val,42,ccfd,tree,input_validation,capgd,0.1,0.9999,0.9999,0.8629,0.9512,0.7959,0.8667,0.7024,1.0000,0.1837,0.3103,0.9996,0.9986,0.47,0.00
2026-02-09T23:51:03.935050,ccfd_tree_input_val,123,ccfd,tree,input_validation,capgd,0.1,0.9999,0.9999,0.8167,0.9444,0.6939,0.8000,0.5647,1.0000,0.0816,0.1509,0.9994,0.9984,0.45,0.00
2026-02-09T23:51:16.289186,ccfd_tree_input_val,456,ccfd,tree,input_validation,capgd,0.1,0.9997,0.9997,0.8737,0.9302,0.8163,0.8696,0.8469,1.0000,0.3980,0.5693,0.9996,0.9990,0.47,0.00
2026-02-09T23:51:57.280089,ieee_cis_neural_baseline,42,ieee_cis,neural,none,capgd,0.1,0.0000,1.0000,0.4461,0.2095,0.6043,0.3112,0.0834,0.0045,0.1019,0.0086,0.9044,0.1571,9.79,0.26
2026-02-09T23:52:39.741173,ieee_cis_neural_baseline,123,ieee_cis,neural,none,capgd,0.1,0.0000,1.0000,0.4896,0.2159,0.6114,0.3191,0.0837,0.0051,0.1161,0.0097,0.9068,0.1542,9.57,0.30
2026-02-09T23:53:19.880442,ieee_cis_neural_baseline,456,ieee_cis,neural,none,capgd,0.1,0.0000,1.0000,0.4091,0.1622,0.5782,0.2534,0.0657,0.0034,0.0782,0.0065,0.8782,0.1490,9.62,0.28
2026-02-09T23:56:20.314594,ieee_cis_neural_adv_train,42,ieee_cis,neural,adversarial_training,capgd,0.1,0.0000,1.0000,0.4948,0.1778,0.6659,0.2807,0.2792,0.0792,0.5379,0.1381,0.8781,0.7601,159.25,0.22
2026-02-09T23:59:20.338567,ieee_cis_neural_adv_train,123,ieee_cis,neural,adversarial_training,capgd,0.1,0.0000,1.0000,0.4770,0.1653,0.6327,0.2622,0.3047,0.0792,0.5403,0.1382,0.8727,0.7593,158.41,0.24
2026-02-10T00:02:23.010237,ieee_cis_neural_adv_train,456,ieee_cis,neural,adversarial_training,capgd,0.1,0.0000,1.0000,0.4360,0.1868,0.6280,0.2879,0.2393,0.0756,0.4787,0.1306,0.8890,0.7723,161.11,0.25
2026-02-10T00:02:53.918291,ieee_cis_neural_input_val,42,ieee_cis,neural,input_validation,capgd,0.1,0.0000,1.0000,0.4460,0.1957,0.5829,0.2930,0.0182,0.0018,0.0427,0.0034,0.8995,0.0971,8.13,0.28
