timestamp,experiment_name,seed,dataset,model_type,defence_type,attack_type,attack_epsilon,validity_rate,adv_validity_rate,clean_pr_auc,clean_precision,clean_recall,clean_f1,robust_pr_auc,robust_precision,robust_recall,robust_f1,clean_accuracy,robust_accuracy,train_time_sec,attack_time_sec
2026-02-13T00:23:08.925543,ccfd_tree_baseline,42,ccfd,tree,none,capgd,0.1,0.9999,0.9999,0.8629,0.9512,0.7959,0.8667,0.8629,0.9512,0.7959,0.8667,0.9996,0.9996,2.34,3.11
2026-02-13T00:23:08.941578,ccfd_tree_baseline,123,ccfd,tree,none,capgd,0.1,0.9999,0.9999,0.8167,0.9444,0.6939,0.8,0.8167,0.9444,0.6939,0.8,0.9994,0.9994,2.49,3.1
2026-02-13T00:23:08.972733,ccfd_tree_baseline,456,ccfd,tree,none,capgd,0.1,0.9997,0.9997,0.8737,0.9302,0.8163,0.8696,0.8737,0.9302,0.8163,0.8696,0.9996,0.9996,2.5,2.99
2026-02-13T00:23:10.039163,ccfd_tree_input_val,123,ccfd,tree,input_validation,capgd,0.1,0.9999,0.9999,0.5647,1.0,0.0816,0.1509,0.5647,1.0,0.0816,0.1509,0.9984,0.9984,2.4,3.49
2026-02-13T00:23:11.443716,ccfd_tree_input_val,42,ccfd,tree,input_validation,capgd,0.1,0.9999,0.9999,0.7024,1.0,0.1837,0.3103,0.7024,1.0,0.1837,0.3103,0.9986,0.9986,2.44,5.17
2026-02-13T00:23:17.687494,ccfd_tree_input_val,456,ccfd,tree,input_validation,capgd,0.1,0.9997,0.9997,0.8469,1.0,0.398,0.5693,0.8469,1.0,0.398,0.5693,0.999,0.999,2.35,11.55
2026-02-13T00:24:20.879821,ieee_cis_baseline,42,ieee_cis,tree,none,capgd,0.1,0.9974,0.9974,0.5823,0.8421,0.3412,0.4857,0.5823,0.8421,0.3412,0.4857,0.9742,0.9742,9.39,2.84
2026-02-13T00:24:26.070345,ieee_cis_baseline,123,ieee_cis,tree,none,capgd,0.1,0.9967,0.9967,0.5582,0.8172,0.3602,0.5,0.5582,0.8172,0.3602,0.5,0.9743,0.9743,7.75,3.02
2026-02-13T09:47:19.421379,ccfd_tree_square,123,ccfd,tree,none,square,0.1,0.9977,1.0,0.8242,0.8571,0.6667,0.75,0.7933,0.6667,0.6667,0.6667,0.9993,0.9989,0.77,50.41
2026-02-13T09:47:21.756570,ccfd_tree_square,42,ccfd,tree,none,square,0.1,0.9975,1.0,1.0,1.0,1.0,1.0,0.9889,1.0,0.8889,0.9412,1.0,0.9998,1.45,52.05
2026-02-13T09:47:23.722270,ccfd_tree_square,456,ccfd,tree,none,square,0.1,0.9977,1.0,0.6204,1.0,0.4444,0.6154,0.5486,0.75,0.3333,0.4615,0.9991,0.9988,2.21,52.77
